"prompt_id","repetition","model_key","n_records"
"618ab972e183031b0b0f",1,"qwen3_8b_post",0
"176d3b142baf13ad72e6",1,"qwen3_8b_post",0
"ea45fc792500d32312b1",1,"qwen3_8b_post",0
"3c2f878f08a449a9e8a1",1,"qwen3_8b_post",0
"ada49543214f23ab7ed9",1,"qwen3_8b_post",0
"50b8430ec5c566a8f4ef",1,"qwen3_8b_post",0
"5679315000645c715a22",1,"qwen3_8b_post",0
"43fd49d8d9c4c8d77bed",1,"qwen3_8b_post",0
"e9a2dad9f9b29ff2565b",1,"qwen3_8b_post",0
"e8318b8477d3e4e42a6d",1,"qwen3_8b_post",0
"ecbc0d1d2544233034c8",1,"qwen3_8b_post",0
"db8bc16767e9eca45976",1,"qwen3_8b_post",0
"8407e8f05f9ab0f5fb11",1,"qwen3_8b_post",0
"02c8fa4c3507617774de",1,"qwen3_8b_post",0
"831cf6b54fb44ca686d1",1,"qwen3_8b_post",0
"ef3555549117053ba8f0",1,"qwen3_8b_post",0
"ebae4474b24c80f1d4c3",1,"qwen3_8b_post",0
"c9596c98c4e5a6c69e20",1,"qwen3_8b_post",0
"77f5a0984e52ccdc7195",1,"qwen3_8b_post",0
"70f34c357eacfcf5865e",1,"qwen3_8b_post",0
"109a1536222edbe4193c",1,"qwen3_8b_post",0
"7d541beb7b685088512c",1,"qwen3_8b_post",0
"d939762877b4b19484b5",1,"qwen3_8b_post",0
"112854ea0511428db2b7",1,"qwen3_8b_post",0
"4eab5fb20f8014cf7e1b",1,"qwen3_8b_post",0
"e7eaa0f6da1281c89717",1,"qwen3_8b_post",0
"6edd2bc9c8e308403147",1,"qwen3_8b_post",0
"efc9cf403faeba7aecd3",1,"qwen3_8b_post",0
"35b837dba2651b9dd8f2",1,"qwen3_8b_post",0
"b0e2f76c2663f6ba2fd8",1,"qwen3_8b_post",0
"7fb2c0ae231114bce761",1,"qwen3_8b_post",0
"8a761b3c2b1dedbf69ba",1,"qwen3_8b_post",0
"ae728c557a127f074d00",1,"qwen3_8b_post",0
"047a6e7982e78eaa63dd",1,"qwen3_8b_post",0
"bde863ff2f90805ef700",1,"qwen3_8b_post",0
"9e36f8f0a44e41a3301c",1,"qwen3_8b_post",0
"dd4fe666d54f768eee32",1,"qwen3_8b_post",0
"f8c086dd4e28caa99537",1,"qwen3_8b_post",0
"2635b2bb091e749dde40",1,"qwen3_8b_post",0
"9aeaf8347d22eb7fa13d",1,"qwen3_8b_post",0
"e840399a6405431a4cab",1,"qwen3_8b_post",0
"c725edda80719de2271d",1,"qwen3_8b_post",0
"b8b066ee7f5a75e1ace3",1,"qwen3_8b_post",0
"023e90fbeb94a2d553b8",1,"qwen3_8b_post",0
"ac48971219c7dd249abd",1,"qwen3_8b_post",0
"72a6d12f6fc9c2b2ce14",1,"qwen3_8b_post",0
"e328f2bc5c8c6848b5c5",1,"qwen3_8b_post",0
"8708438034c4126b7668",1,"qwen3_8b_post",0
"775c3016fbcdb9f32119",1,"qwen3_8b_post",0
"c1acd7dc0e339e760584",1,"qwen3_8b_post",0
"0f7942d6805f6c99a0b2",1,"qwen3_8b_post",0
"7018660014a69ec15276",1,"qwen3_8b_post",0
"d5593d1ba8fafed874f6",1,"qwen3_8b_post",0
"42882516e7710c0f3ae8",1,"qwen3_8b_post",0
"4251e83d5f957d1bca8f",1,"qwen3_8b_post",0
"33191420473cbbab3334",1,"qwen3_8b_post",0
"b1e88f68c33a0cab48a5",1,"qwen3_8b_post",0
"e2ee122e4bfefe1985c5",1,"qwen3_8b_post",0
"889af1d93914f79eabbb",1,"qwen3_8b_post",0
"c3d560a6c2323c4f1e10",1,"qwen3_8b_post",0
"289197c18dbca252df56",1,"qwen3_8b_post",0
"886e8d408f81dd7e2df6",1,"qwen3_8b_post",0
"2e84c60e6495654fff94",1,"qwen3_8b_post",0
"04206791aa79844f85b3",1,"qwen3_8b_post",0
"a099bfe9d1ef219b1cfe",1,"qwen3_8b_post",0
"4307e8df5a4f4af86209",1,"qwen3_8b_post",0
"96d4dd54b77d299bf11c",1,"qwen3_8b_post",0
"9448a79fc4687d7b2680",1,"qwen3_8b_post",0
"704c089f155b20365a47",1,"qwen3_8b_post",0
"a9d63008ac06c4978d4e",1,"qwen3_8b_post",0
"15908848cce12a640c6e",1,"qwen3_8b_post",0
"6fc763c0c2270d6d84f6",1,"qwen3_8b_post",0
"332e285813863f25fcf8",1,"qwen3_8b_post",0
"fd9980d59cb3db07a6c1",1,"qwen3_8b_post",0
"856bdf513c1619d7f5ae",1,"qwen3_8b_post",0
"28e84946cd53c5bd3ae4",1,"qwen3_8b_post",0
"4654f186b733263ac0e1",1,"qwen3_8b_post",0
"a9d6cfd57a44404c7ff7",1,"qwen3_8b_post",0
"0ac22a49fb2c022d69b0",1,"qwen3_8b_post",0
"44cfc551fe7bf288b3ee",1,"qwen3_8b_post",0
"398ba9c3ff207d90c9c4",1,"qwen3_8b_post",0
"29119692618c47341f65",1,"qwen3_8b_post",0
