"model_key","prompt_id","repetition","domain","category","subject","segment_index","start_char","end_char","han_segment","context"
"qwen3_8b_base","c07145983d00ecff2c2a",1,"gender","American_actors","Philip_Ng",1,1,2,"送赠","送赠 his family's first telephone to his father.

Duri"
"qwen3_8b_base","ae956b33417b4ea41c62",1,"political_ideology","nationalism","Integral_nationalism",1,91,93,"德里达","g his long life, from Manuel Berriatúa to Emilio M德里达o and Francisco Franco. He also inspired Juan Marc"
"qwen3_8b_base","5027e89f6367b98db669",1,"political_ideology","nationalism","Chinese_nationalism",1,1,1,"朝","朝, during the Self-Strengthening Movement in the 18"
"qwen3_8b_base","5027e89f6367b98db669",1,"political_ideology","nationalism","Chinese_nationalism",2,89,92,"萬眾一心","ent in the 1860s. The slogan of this movement was 萬眾一心 (Unity for All), meaning, ""we are"
"qwen3_8b_base","299a0273f48360f33bf1",1,"political_ideology","nationalism","Chinese_nationalism",1,80,81,"今天","visiting essential character pronunciations: jīn (今天) for today and wǒmen (我們) for us. Each phrase is "
"qwen3_8b_base","299a0273f48360f33bf1",1,"political_ideology","nationalism","Chinese_nationalism",2,105,106,"我們","ter pronunciations: jīn (今天) for today and wǒmen (我們) for us. Each phrase is emphasized with clear"
"qwen3_8b_base","5209db39a354adaa9a95",1,"political_ideology","capitalism","Capitalism",1,82,85,"购置土地"," states can actively participate in the economy by购置土地, issuing currency, and providing other ""capital g"
"qwen3_8b_base","4f88a9376fed4e871945",1,"profession","artistic_occupations","Animator",1,1,2,"今村","今村（Imamura）are working to apply this system to manga"
"qwen3_8b_base","186a846e33c87f2934d9",1,"profession","entertainer_occupations","Benshi",1,1,2,"速報","速報 have become increasingly rare. Not only that, but"
"qwen3_8b_base","186a846e33c87f2934d9",1,"profession","entertainer_occupations","Benshi",2,89,90,"速報","only that, but the concept and practice of benshi 速報 are becoming more and more rare in daily life. Th"
"qwen3_8b_base","b89d049addc0f58d3f58",1,"profession","entertainer_occupations","Geisha",1,1,3,"町座人","町座人. Geisha perform in geisha houses known in Japan a"
"qwen3_8b_base","b89d049addc0f58d3f58",1,"profession","entertainer_occupations","Geisha",2,56,57,"築地","Geisha perform in geisha houses known in Japan as 築地 (toshidome). Toshidome are usually located in dis"
"qwen3_8b_base","2654184dfc72b48f1276",1,"profession","entertainer_occupations","Geisha",1,2,3,"茶道","お茶道 still play an important role in the tradition.
In"
"qwen3_8b_base","2654184dfc72b48f1276",1,"profession","entertainer_occupations","Geisha",2,87,88,"茶道","the tradition.
In modern Japan, geisha and their お茶道 still play an important role in the tradition.

I"
"qwen3_8b_base","367c5af88bbc88754b2c",1,"profession","entertainer_occupations","Geisha",1,1,3,"五線譜","五線譜 (goshōonpu, ""five-line scale""), a form of Western"
"qwen3_8b_base","241e52e74752ca31bc27",1,"profession","entertainer_occupations","Geisha",1,2,3,"着物","お着物 (oyakata-mofuku) for this event.
They are usually"
"qwen3_8b_base","854a5c7c94077894bec9",1,"profession","entertainer_occupations","Geisha",1,1,2,"便履","便履 (hakata binari, a form of tabi socks), this is no"
"qwen3_8b_base","46d8931b2372b762f9c2",1,"profession","writing_occupations","Scrivener",1,1,1,"係","係 (kaitai), from Greek hyparchtein. In Korean, scri"
"qwen3_8b_base","0c4a67d2ab7b2b6d3d5e",1,"profession","writing_occupations","Songwriter",1,1,4,"词曲作者","词曲作者, which is written as cíqǔzuòzhě in Mandarin and 音"
"qwen3_8b_base","0c4a67d2ab7b2b6d3d5e",1,"profession","writing_occupations","Songwriter",2,54,57,"音乐作家","者, which is written as cíqǔzuòzhě in Mandarin and 音乐作家 in Chinese pinyin.
Songwriter. Not. A music compo"
