"model_key","domain","category","replica_group_invalid","n_valid","n_unique_normalized","n_prompts"
"qwen3_8b_base","gender","American_actors",FALSE,1,1,2048
"qwen3_8b_base","gender","American_actresses",FALSE,1,1,1156
"qwen3_8b_base","political_ideology","anarchism",FALSE,1,1,158
"qwen3_8b_base","political_ideology","capitalism",FALSE,1,1,88
"qwen3_8b_base","political_ideology","communism",FALSE,0,0,1
"qwen3_8b_base","political_ideology","communism",FALSE,1,1,130
"qwen3_8b_base","political_ideology","conservatism",FALSE,0,0,1
"qwen3_8b_base","political_ideology","conservatism",FALSE,1,1,91
"qwen3_8b_base","political_ideology","democracy",FALSE,1,1,342
"qwen3_8b_base","political_ideology","fascism",FALSE,1,1,115
"qwen3_8b_base","political_ideology","left-wing",FALSE,1,1,113
"qwen3_8b_base","political_ideology","liberalism",FALSE,0,0,1
"qwen3_8b_base","political_ideology","liberalism",FALSE,1,1,91
"qwen3_8b_base","political_ideology","nationalism",FALSE,1,1,453
"qwen3_8b_base","political_ideology","populism",FALSE,1,1,59
"qwen3_8b_base","political_ideology","right-wing",FALSE,1,1,82
"qwen3_8b_base","political_ideology","socialism",FALSE,1,1,259
"qwen3_8b_base","profession","artistic_occupations",FALSE,1,1,433
"qwen3_8b_base","profession","computer_occupations",FALSE,1,1,209
"qwen3_8b_base","profession","dance_occupations",FALSE,1,1,626
"qwen3_8b_base","profession","engineering_branches",FALSE,1,1,3120
"qwen3_8b_base","profession","entertainer_occupations",FALSE,1,1,442
"qwen3_8b_base","profession","film_and_television_occupations",FALSE,1,1,245
"qwen3_8b_base","profession","healthcare_occupations",FALSE,1,1,531
"qwen3_8b_base","profession","mental_health_occupations",FALSE,1,1,349
"qwen3_8b_base","profession","metalworking_occupations",FALSE,1,1,625
"qwen3_8b_base","profession","nursing_specialties",FALSE,1,1,293
"qwen3_8b_base","profession","professional_driver_types",FALSE,1,1,62
"qwen3_8b_base","profession","scientific_occupations",FALSE,1,1,824
"qwen3_8b_base","profession","sewing_occupations",FALSE,1,1,830
"qwen3_8b_base","profession","theatre_personnel",FALSE,1,1,122
"qwen3_8b_base","profession","writing_occupations",FALSE,1,1,421
